refcode,linker SMILES,metal,Largest Cavity Diameter,Pore Limiting Diameter,Largest Free Sphere
ABEMIF,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Cu,11.25251,6.80253,11.25251
ABUFUA,OC(=O)/C=C/c1ccc(cc1)/C=C/C(=O)O,Fe,2.05942,1.64222,2.05073
ACAZEK,NCCN,Ag,1.67292,0.95578,1.29275
ACMPCD,O[C@@H]1[C@@H](O)[C@@H](O[C@@H]1n1ccc(nc1=O)N)COP(=O)(O)O,Cd,5.66735,4.60927,5.66735
ACOBEC,OC(=O)c1ccc(cc1)C(=O)O,Sc,3.36484,2.64983,3.36484
ACODAA,n1[nH]cc(c1)c1c[nH]nc1,Fe,6.48152,5.94554,6.48152
ACOVEU,O[C@H]([C@H](C(=O)O)O)C(=O)O,Co,1.414,0.90293,1.414
ADINCU,N#CCCCCC#N,Cu,4.24935,2.57866,4.24935
AFIPUB,O=C1C(=O)C(=O)C1=O,Cd,1.48057,0.66871,1.46299
AFIXAO,c1ncc[nH]1,Co,6.33013,4.53148,6.32971
AFORCD,OC=O,Cd,1.70202,1.00965,1.70202
AGDCNM,N#CC(N(=O)=O)C#N,Ag,2.1022,0.74448,1.77282
AGEGOL,O=C1C(=O)C(=O)C1=O,Ca,3.67071,1.04284,3.15977
AGESIP,O=C1C(=O)C(=O)C1=O,Cu,3.67076,3.05174,3.64368
AGEWUH,OC=O,Mn,4.5118,2.84268,4.5118
AGOGOU,[nH]1cnnc1,Fe,1.3569,0.81723,1.35063
AGOXAL02,OC(=O)C(=O)O,Ag,0.94823,0.31422,0.94823
AGSLFA,OS(CCS(O)(O)O)(O)O,Ag,1.56317,0.82387,1.56317
AGULAQ,OC(=O)CN1C=C(O)CC(=C1)C(=O)O,Mn,3.20902,1.59246,3.20792
AGUVEE,n1ncn(c1)n1cnnc1,Cu,4.90012,2.38894,4.90012
AGUWEG01,N#C[C@H]1C(=O)C(=C(C(=O)C1=O)Cl)O,K,1.49429,0.30317,1.42701
AHIJOQ,O[C@H]([C@H](C(=O)O)O)C(=O)O,Pb,1.64909,0.55607,1.57823
AHOKIR01,OP(=O)(CCCCP(=O)(O)O)O,Cu,4.25517,3.48028,4.25517
AHUBIO,O=N(=O)c1ccc(c(c1)N(=O)=O)O,Pb,1.62355,1.05115,1.61227
AJIFIJ,OC(=O)[C@H]([C@H](C(=O)O)CC(=O)O)CC(=O)O,Cd,1.88836,0.8759,1.86868
ALEQIT,OC(=O)c1ccc(cc1)C(=O)O,Tb,2.33632,1.40235,2.31142
ALICEE,[nH]1cnnc1,Cu,8.89228,8.87656,8.89228
ALIQUH,OC(=O)C(=O)O,Mn,3.96739,2.24492,3.96739
